State,Year,Total_Pub_Under,4y_Pub_Under,2y_Pub_Under,Total_Pub_Postbacc,Total_Priv_Under,Np_4y_Priv_Under,Fp_4y_Priv_Under,Np_2y_Priv_Under,Fp_2y_Priv_Under,Total_Priv_Postbacc,Np_4y_Priv_Postbacc,Fp_4y_Priv_Postbacc,Total_Enrollment
Missouri,2013-14,227673,122308,105365,26977,131957,101568,23272,1212,5905,51615,49438,2177,359630
Missouri,2014-15,224164,124561,99603,28816,117476,99675,10681,1138,5982,49444,48958,486,341640
Missouri,2015-16,219402,125705,93697,29114,112550,97853,7140,893,6664,48930,48582,348,331952
Missouri,2016-17,216882,126166,90716,28042,107276,97018,4636,854,4768,48894,48582,312,324158
Missouri,2017-18,209971,123139,86832,25569,98431,90515,4621,173,3122,49518,49210,308,308402
Missouri,2018-19,206021,120353,85668,26019,92343,88415,2664,183,1081,50041,49820,221,298364
Missouri,2019-20,199643,117043,82600,26367,87998,84164,2450,184,1200,48900,48686,214,287641
Missouri,2020-21,185763,110452,75311,27055,82816,79031,2318,181,1286,46984,46740,244,268579
Montana,2012-13,43667,34425,9242,4666,4757,4350,0,407,0,164,164,0,48424
Montana,2013-14,43148,34442,8706,4703,4755,4305,0,450,0,171,171,0,47903
Montana,2014-15,42376,33744,8632,4648,4752,4257,0,495,0,166,166,0,47128
Montana,2015-16,41379,32917,8462,4555,4687,4245,0,442,0,177,177,0,46066
Montana,2016-17,41222,32846,8376,5038,4490,4030,0,425,35,166,166,0,45712
Montana,2017-18,40796,32910,7886,5206,4411,3999,0,375,37,229,229,0,45207
Montana,2018-19,39639,31691,7948,5286,4168,3820,0,305,43,270,270,0,43807
